用户id,微博昵称,微博正文,是否认证,是否会员,有无签名,微博数,关注数,粉丝数,分组数,原创率,发图率,注册时间,性别,生日,地区
3050112401,温柔就等于谎言,拿了17个罚球的就别拿出来说了,0,1,0,7,63,67,1,1.0000,1.0000,2013-04-11,男,1995-04-15,浙江
7481286039,LikeINeed,恩比德数据更全面,0,1,1,11,106,6,1,0.8182,0.2727,2020-10-12,男,2001-08-26,其他
1578932857,国企工具人,口曼巴封神。,0,0,1,2252,999,1608,1,0.3022,0.4756,2010-11-06,男,处女座,湖北 武汉
2051963635,Lowry-chen,老詹MVP够呛了。 浓眉受伤，乔治回归。湖人很可能被快船反超。如果湖人战绩对76人战绩优势不大，那MVP就悬了,0,0,0,185,206,31,1,0.2162,0.3784,2011-11-27,男,01-01,天津 塘沽区
2401656851,攴图咪-,都挺难的，恩比德罚球多了点儿,0,1,1,47952,4683,10698,2,0.0000,0.0129,2020-02-19,女,1996-05-03,江苏 南京
5839673832,大张要晚睡m,你碰到我背了，疼啊,0,0,1,56,334,323,1,0.6964,0.8929,2020-07-13,女,0001-00-00,北京
7296998446,开朗的小刀刀,穆雷牛逼啊,0,1,1,916,3002,63,1,1.0180,1.0180,2020-08-25,男,1988-03-17,河南
5690353996,AKAForeverMamba-,,0,0,0,5364,95,86,1,0.0002,0.0522,2019-08-21,男,1998-11-21,湖北
6450868235,柚柚酱酱-,,1,1,1,4472,163,55597,1,0.0000,0.0627,2018-03-01,女,2011-12-24,海外
6523037512,你说今晚月亮很美24,,0,0,1,7037,37,36,1,0.0000,0.0454,2018-08-23,男,0,其他
1253139560,强哥说事,:穆雷和恩比德今天都拿到50分，有一说一，你觉得哪一个更震撼？穆雷全场0罚球50分！掘金战胜骑士，穆雷全场25投21中，三分10中8，砍下50分，没有一次罚球。50分没有罚球也创造了新的历史纪录，此前0罚球最高分为贾巴尔和奥拉朱旺的48分。  恩比德50分！76人112-105战胜公牛。恩比德上场35分钟，26投17中，罚球17罚15中，得到50分17篮板5助攻2抢断4封盖。50分是恩比德生涯得分新高。 ,1,1,1,52640,489,3993645,1,0.0365,0.0137,2012-02-02,男,2000-08-08,海外
6373538493,一年老雷蜜,:发布了头条文章：《NBA最新排名！恩比德和穆雷同砍50分，小卡带队击溃联盟第一》  NBA最新排名！恩比德和穆雷同砍50分，小卡带队击溃联盟第一 ,1,0,1,6938,217,28684,1,0.2847,0.0043,2017-10-04,男,0,山东
3881531695,乐动资讯,:今日NBA常规赛掘金120-103战胜骑士，穆雷贡献50分6篮板2助攻，帮助球队取胜！穆雷本场命中率84%，是掘金队史上第一位单场拿到50+且命中率80%+的球员！   乐动资讯的微博视频 ,1,1,0,4417,117,148900,1,0.3946,0.2404,2019-08-13,男,1993-06-14,北京 东城区
6903293618,佳姐看球,:【本赛季第二次有多名球员同一天砍下50+，这是近58年来首次】在今日的常规赛里，贾马尔-穆雷和恩比德都砍下了50分。算上2月7日库里的57分和约基奇的50分，这已经是本赛季第二次有多名球员在同一天砍下50+。据统计，上次出现这种情况还是在1962-63赛季。今日比赛，穆雷25中21，三分10中8，砍下50分6篮板；恩比德26中17，罚球17中15，砍下50分17板5助攻4盖帽。 丨 丨,1,1,1,7597,255,207948,1,0.1860,0.1319,2019-07-31,女,1900-01-01,香港
3863314391,KOK体育--欧洲杯,:恩比德50分生涯新高 今天都是怎么了...穆雷和恩比德都砍下了生涯新高，太狠了太狠了   KOK体育--欧洲杯的微博视频 ,0,1,1,466,308,23497,2,1.0108,0.1699,2015-04-14,女,01-01,广东 深圳
6903293618,佳姐看球,:【约老师谈穆雷：他今天就是个喷火器 手感太热了】掘金今日以120-103轻取骑士，结束2连败。此役，穆雷迎来爆发，全场25中21，三分10中8，轰下50分6篮板2助攻2抢断。对于穆雷今晚的表现，队友约基奇表示：“今天他就是个喷火器，手感太热了，太热了！”另外记者问穆雷防守他的人是谁重要吗，穆雷直言：“从来都不重要。”此役，约基奇生日夜砍下16分12篮板10助攻4抢断的三双。 丨 丨,1,1,1,7597,255,207948,1,0.1860,0.1319,2019-07-31,女,1900-01-01,香港
5868069966,卫平布莱恩特-,:❤️        【 掘金120-103客胜骑士】掘金队穆雷全场25投21中，其中三分10投8中，高效砍下50分，约基奇三双16分12篮板10助攻4抢断，小波特22分，坎帕佐10分；骑士队塞克斯顿23分，贾瑞特-阿伦20分10篮板，加兰德和奥科罗各14分，奥斯曼11分7助攻。 ,1,1,1,30550,819,2826791,1,0.0534,0.0167,2016-02-28,女,巨蟹座,海外
7350982286,火狐体育资讯,:NBA常规赛20日赛报：掘金vs骑士穆雷零罚球砍50+6  约基奇16+12+10+4，掘金120-103客场轻取骑士 勇士vs魔术武切维奇30+16+10 库里29+11 勇士120-124无缘3连胜公牛vs76人恩比德50+17+5 哈里斯22+12+7 拉文30+5+5 76人112-105力克公牛老鹰vs凯尔特人沃克复出28+5+6创赛季纪录 绿军121-109复仇老鹰太阳vs鹈鹕 布克23+4 保罗15+19助 莺歌25分 太阳客场132-114逆转鹈鹕雷霆vs雄鹿字母哥29+19+8 米德尔顿20+8 雄鹿98-85击败雷霆结束5连败活塞vs灰熊莫兰特29分，瓦兰17+15 格兰特16分，灰熊主场109-95战胜活塞猛龙vs森林狼鲍威尔31分 唐斯19+13 猛龙86-81复仇森林狼取3连胜爵士vs快船莱昂纳德复出砍29分乔治15+6+5，快船116-112终结爵士九连胜,1,1,1,1456,127,303658,1,0.9931,0.8759,2020-04-08,女,1993-04-08,广东
6361271435,体育游戏之家,:【像大海一样宽阔！穆雷生涯新高50分实录】今天对阵骑士的比赛中，贾马尔-穆雷砍下了生涯新高的50分，而更令人吃惊的是他25投21中的超高命中率，可以说在这个夜晚，篮筐对于穆雷像大海一样宽阔。 体育游戏之家的微博视频 ,1,1,1,24064,401,207471,1,0.0832,0.0208,2017-09-06,男,2000-01-01,北京 东城区
5883278741,体育竞技汇,:【穆雷5⃣️0⃣️分】在今天掘金客场挑战骑士的比赛中，穆雷25投21中（三分10投8中）！高效率狂砍50分创常规赛新高！成为NBA史上首位0罚球砍下50分的球员！他还是本赛季继比尔之后又一位同场能在油漆区和三分线外都得到20+的球员！加上季后赛，这是他生涯第三次得分50+，为掘金队史第一！,1,1,1,1688,159,1257,1,0.9899,0.4505,2020-03-17,男,1996-03-16,广东
6100557219,Hr-babe,姐姐是真的好爱演戏吧！,0,1,1,28319,460,550,1,0.0018,0.0245,2020-11-25,女,0,其他
7457414447,韩泽熙,真的很敬业。,1,1,0,43717,713,26859,1,0.0009,0.0165,2020-06-09,男,2020-05-20,上海
7400238250,0,复苏的存在意义，也许就是让你找到更温暖的事物,1,1,1,643,388,21383,1,0.8255,0.2025,2020-03-14,0,0,0
1562587691,夏小乖日记,求推荐北京价格适中技术好点的医院医生　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,5806,63,10052,1,0.0000,0.1037,2010-12-05,女,1998-03-03,江苏 苏州
2507696904,阿之泉,求推荐北京价格适中技术好点的医院医生　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,5343,66,10250,1,0.0006,0.0899,2016-05-18,男,0,广东 深圳
2336703252,湖曲网络工作室3,我是牙齿很拥挤，有擅长做隐形矫正的医生吗　　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,9044,132,72,1,0.0000,0.0655,2011-08-24,女,0,广东
2820921753,苏瑾sandyxfpqv,针对脸型比例有什么审美好的医生，求推荐　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,7264,102,10021,1,0.0000,0.0802,2012-08-13,男,0,吉林
5595300818,顾相爱未40,求推荐哪个医生审美好有耐心　　　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,10170,71,10014,1,0.0000,0.0572,2020-09-03,男,0,其他
5024699875,炔EGqU陈e,私信您了，你帮我看下这个医生的资历如何，发给你了　　　　　　　　　　　　　　　　　　　　　　,1,0,0,6181,185,10010,1,0.0000,0.0943,2015-11-30,女,1947-08-18,北京 平谷区
6071415546,尤尤的青争three,哪些医生经验丰富案例多，求推荐　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,7360,90,10018,1,0.0000,0.0804,2018-10-09,女,0,其他
5146694677,优韩信息咨询工作室21,针对脸型比例有什么审美好的医生，求推荐　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,9784,123,523,2,0.0000,0.0595,2014-05-19,女,2013-03-14,福建
6074410249,心谤腹非6beFS,求推荐哪个医生技术好有审美　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,13388,62,9991,1,0.0000,0.0435,2020-09-11,男,0,其他
2360220022,mjjian1984_159,想了解杭州矫正医生哪个好，求推荐　　　　　　　　　　　　　　　　　　　　　　,1,0,0,15239,118,10236,1,0.0000,0.0389,2020-08-15,男,0001-00-00,天津
1721182005,北方乡下的狼,针对脸型比例有什么审美好的医生，求推荐　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,7263,207,10020,1,0.0000,0.0802,2012-05-04,男,1956-04-21,上海 黄浦区
6077330831,我是啊先生,哪些医生经验丰富案例多，求推荐　　　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,7186,107,10020,1,0.0000,0.0838,2020-09-07,男,0,其他
2482114583,荷忆江南_509,哪些医生经验丰富案例多，求推荐　　　　　　　　　　　　　　　　　　　　　　,1,0,0,6827,69,10010,1,0.0000,0.0869,2012-12-15,女,0,河南 郑州
5595085705,不言莫风81,我是牙齿很拥挤，有擅长做隐形矫正的医生吗　　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,10075,68,10010,1,0.0000,0.0587,2020-09-03,男,0,其他
1769209735,liangxiulan_254,我是牙齿很拥挤，有擅长做隐形矫正的医生吗　　　　　　　　　　　　　　　　　　　　　　,1,0,0,14415,60,10091,1,0.0000,0.0397,2020-09-11,女,0,重庆 南岸区
3011417343,宛筠Katherin-e,求推荐哪个医生审美好有耐心　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,7687,223,10021,1,0.0000,0.0758,2016-03-13,女,0,山东 滨州
1133940850,treisyt,针对脸型比例有什么审美好的医生，求推荐　　　　　　　　　　　　　　　　　　　　　　　,1,0,0,7489,187,10029,1,0.0000,0.0791,2012-02-13,男,0,北京
1967467244,字字金言,求推荐哪个医生审美好有耐心　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,14702,65,10071,1,0.0000,0.0403,2017-01-26,男,1978-10-06,江苏 连云港
